
task_gain_margin,0.0,baseline_alpha,1.0,tasks_list_,(0, 1, 2, 3, 4, 5),how_task_split,0,seed,27,early_stopping_rounds,200,silent,1,min_task_gain,0.0,task_num_for_init_vec,7,nthread,10,min_child_weight,1,use_task_gain_self,0,objective,binary:logistic,when_task_split,1,max_depth,6,reg_alpha,0,eval_metric,auc,colsample_bylevel,1,scale_pos_weight,1,learning_rate,0.3,task_num_for_OLF,6,n_estimators,1000,max_neg_sample_ratio,0.4,tree_method,exact,baseline_lambda,1.0,colsample_bytree,1,subsample,1,reg_lambda,1,debug,0,which_task_value,2,gamma,0,
task,auc,
0,0.615221987315,0.708255549501
1,0.672222222222,0.401716050141
2,0.636296296296,0.663828944358
3,0.765432098765,0.760730764774
4,0.558201058201,0.640809661398
5,0.640306122449,0.573209221546
Round0, ROCAUC0.625553012967, LOGLOSS0.78282085279, F1 SCORE0.539796787069,

task_gain_margin,0.0,baseline_alpha,1.0,tasks_list_,(0, 1, 2, 3, 4, 5),how_task_split,0,seed,27,early_stopping_rounds,200,silent,1,min_task_gain,0.0,task_num_for_init_vec,7,nthread,10,min_child_weight,1,use_task_gain_self,0,objective,binary:logistic,when_task_split,1,max_depth,6,reg_alpha,0,eval_metric,auc,colsample_bylevel,1,scale_pos_weight,1,learning_rate,0.3,task_num_for_OLF,6,n_estimators,1000,max_neg_sample_ratio,0.4,tree_method,exact,baseline_lambda,1.0,colsample_bytree,1,subsample,1,reg_lambda,1,debug,0,which_task_value,2,gamma,0,
task,auc,
0,0.709259259259,0.661975643578
1,0.696428571429,0.746020938649
2,0.618518518519,0.694245231839
3,0.804421768707,0.649717955879
4,0.694805194805,0.753615567982
5,0.665816326531,0.566192162954
Round1, ROCAUC0.658835417456, LOGLOSS1.0291117994, F1 SCORE0.469714285714,
TOTAL All round, ROCAUC[0.62555301 0.65883542], LOGLOSS[0.78282085 1.0291118 ], F1 SCORE[0.53979679 0.46971429],
Mean Auc 0.642194215212,  Mean logloss 0.905966326096, Mean F1 0.504755536391,
